1|2|2|1|19.99|2026-04-26 11:56:22|Paid
2|2|5|1|24.99|2026-04-26 20:42:26|Paid
3|2|5|1|24.99|2026-04-26 20:43:20|Paid
4|2|8|1|44.0|2026-04-26 20:47:25|Pending
5|2|2|1|19.99|2026-04-27 08:26:39|Paid
6|2|2|1|19.99|2026-04-27 08:45:27|Paid
7|2|2|1|19.99|2026-04-27 08:46:36|Paid
8|2|5|1|24.99|2026-04-27 08:47:52|Paid
9|2|8|1|44.0|2026-04-27 08:56:12|Paid
10|2|2|1|19.99|2026-04-27 09:02:02|Paid
11|2|2|1|19.99|2026-04-27 09:12:19|Paid
12|2|1|1|29.99|2026-04-27 09:18:13|Paid
13|2|2|1|19.99|2026-04-27 09:25:09|Paid
14|2|2|1|19.99|2026-04-27 10:06:59|Paid
15|2|1|1|29.99|2026-04-29 13:23:21|Paid
16|2|1|1|29.99|2026-05-07 23:39:15|Paid
17|2|1|1|29.99|2026-05-11 12:24:39|Paid
18|4|1|1|29.99|2026-05-13 14:03:33|Paid
19|4|2|1|19.99|2026-05-13 14:10:12|Paid
20|4|1|1|29.99|2026-05-13 16:46:46|Paid
21|4|4|1|34.99|2026-05-13 16:47:23|Paid
22|5|1|1|29.99|2026-05-16 13:50:30|Paid
23|5|1|1|29.99|2026-05-16 19:28:56|Cash on Delivery
24|5|2|1|19.99|2026-05-16 19:34:27|Cash on Delivery
25|6|6|1|15.99|2026-05-18 14:43:06|Pending
26|5|2|1|6000.0|2026-05-18 15:39:23|Pending
27|5|3|1|10000.0|2026-05-18 16:02:38|Cancelled
